0:0:0:0:0:0:0:1 - - [27/Apr/2023:22:01:37 +0900] "GET /comm/member/myPage/changePw HTTP/1.1" 200 5347
0:0:0:0:0:0:0:1 - - [27/Apr/2023:22:01:38 +0900] "GET /comm/member/myPage/secession HTTP/1.1" 200 5598
0:0:0:0:0:0:0:1 - - [27/Apr/2023:22:01:38 +0900] "GET /comm/member/myPage/changePw HTTP/1.1" 200 5347
0:0:0:0:0:0:0:1 - - [27/Apr/2023:22:01:39 +0900] "GET /comm/member/myPage/secession HTTP/1.1" 200 5598
0:0:0:0:0:0:0:1 - - [27/Apr/2023:22:03:03 +0900] "GET /comm/member/myPage/changePw HTTP/1.1" 200 5347
0:0:0:0:0:0:0:1 - - [27/Apr/2023:22:03:05 +0900] "GET /comm/member/myPage/info HTTP/1.1" 200 6023
0:0:0:0:0:0:0:1 - - [27/Apr/2023:22:03:07 +0900] "GET /comm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2023:22:03:07 +0900] "GET /comm/ HTTP/1.1" 200 6589
0:0:0:0:0:0:0:1 - - [27/Apr/2023:22:03:18 +0900] "GET /comm/member/myPage/info HTTP/1.1" 200 6023
0:0:0:0:0:0:0:1 - - [27/Apr/2023:22:03:19 +0900] "GET /comm/member/myPage/changePw HTTP/1.1" 200 5347
0:0:0:0:0:0:0:1 - - [27/Apr/2023:22:03:20 +0900] "GET /comm/member/myPage/secession HTTP/1.1" 200 5598
0:0:0:0:0:0:0:1 - - [27/Apr/2023:22:40:13 +0900] "POST /comm/member/myPage/secession HTTP/1.1" 500 4114
0:0:0:0:0:0:0:1 - - [27/Apr/2023:22:42:35 +0900] "GET /comm/member/myPage/secession HTTP/1.1" 200 5598
0:0:0:0:0:0:0:1 - - [27/Apr/2023:22:42:36 +0900] "GET /comm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2023:22:42:36 +0900] "GET /comm/ HTTP/1.1" 200 7137
0:0:0:0:0:0:0:1 - - [27/Apr/2023:22:42:37 +0900] "GET /comm/member/selectAll HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [27/Apr/2023:22:42:44 +0900] "POST /comm/member/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2023:22:42:44 +0900] "GET /comm/ HTTP/1.1" 200 7433
0:0:0:0:0:0:0:1 - - [27/Apr/2023:22:42:44 +0900] "GET /comm/member/selectAll HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [27/Apr/2023:22:42:49 +0900] "POST /comm/member/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2023:22:42:49 +0900] "GET /comm/ HTTP/1.1" 200 6589
0:0:0:0:0:0:0:1 - - [27/Apr/2023:22:42:50 +0900] "GET /comm/member/myPage/info HTTP/1.1" 200 6024
0:0:0:0:0:0:0:1 - - [27/Apr/2023:22:42:51 +0900] "GET /comm/member/myPage/secession HTTP/1.1" 200 5598
0:0:0:0:0:0:0:1 - - [27/Apr/2023:22:42:59 +0900] "POST /comm/member/myPage/secession HTTP/1.1" 500 15771
0:0:0:0:0:0:0:1 - - [27/Apr/2023:22:43:26 +0900] "GET /comm/member/myPage/secession HTTP/1.1" 200 5598
0:0:0:0:0:0:0:1 - - [27/Apr/2023:22:43:31 +0900] "POST /comm/member/myPage/secession HTTP/1.1" 500 4114
0:0:0:0:0:0:0:1 - - [27/Apr/2023:22:47:56 +0900] "GET /comm/member/myPage/secession HTTP/1.1" 200 5598
0:0:0:0:0:0:0:1 - - [27/Apr/2023:22:48:03 +0900] "GET /comm HTTP/1.1" 302 -
